"","Year","Plot","Ring","CO2","N","SR","TotalBiomass","pSR","pH","ExpYear","l.year","l.SR","l.biomass","l.RR","Trt"
"103",1999,202,4,"Camb","Namb",1,172.3,1,5.3,2,0.693147180559945,0,5.14923714353388,0.698134722070984,"Namb.Camb"
"104",1999,203,4,"Camb","Nenrich",4,274.5,4,5.4,2,0.693147180559945,1.38629436111989,5.61495126094959,1.38879124131848,"Nenrich.Camb"
"105",1999,204,4,"Camb","Nenrich",1,306.9,1,6,2,0.693147180559945,0,5.72652196162569,0.00995033085316809,"Nenrich.Camb"
"106",1999,205,4,"Camb","Nenrich",16,247.09,7,5.3,2,0.693147180559945,2.77258872223978,5.50975264273009,1.9473377010465,"Nenrich.Camb"
"107",1999,206,4,"Camb","Nenrich",4,312.3,3,5.2,2,0.693147180559945,1.38629436111989,5.74396426428903,1.10194007876078,"Nenrich.Camb"
"108",1999,207,4,"Camb","Nenrich",4,413.1,4,6,2,0.693147180559945,1.38629436111989,6.02368969440272,1.38879124131848,"Nenrich.Camb"
"109",1999,208,4,"Camb","Nenrich",1,504,1,5.2,2,0.693147180559945,0,6.22257626807137,0.698134722070984,"Nenrich.Camb"
"110",1999,209,4,"Camb","Namb",1,398,1,5.2,2,0.693147180559945,0,5.98645200528444,0.00995033085316809,"Namb.Camb"
"112",1999,210,4,"Camb","Nenrich",1,176.2,1,4.9,2,0.693147180559945,0,5.17161971350208,0.00995033085316809,"Nenrich.Camb"
"113",1999,211,4,"Camb","Namb",4,219.5,3,5.2,2,0.693147180559945,1.38629436111989,5.39135223251523,1.10194007876078,"Namb.Camb"
"114",1999,212,4,"Camb","Nenrich",1,93,1,6.2,2,0.693147180559945,0,4.53259949315326,0.698134722070984,"Nenrich.Camb"
"115",1999,213,4,"Camb","Nenrich",16,320.67,8,5.2,2,0.693147180559945,2.77258872223978,5.77041255695396,2.08069076108027,"Nenrich.Camb"
"116",1999,214,4,"Camb","Nenrich",4,192.2,4,5.2,2,0.693147180559945,1.38629436111989,5.25853649653619,1.38879124131848,"Nenrich.Camb"
"117",1999,215,4,"Camb","Nenrich",4,221.4,3,5.1,2,0.693147180559945,1.38629436111989,5.39997102027454,1.10194007876078,"Nenrich.Camb"
"118",1999,216,4,"Camb","Namb",4,263.2,5,5.2,2,0.693147180559945,1.38629436111989,5.57291419945116,1.61143591509677,"Namb.Camb"
"119",1999,218,4,"Camb","Nenrich",4,180.6,3,5.7,2,0.693147180559945,1.38629436111989,5.19628464098288,1.10194007876078,"Nenrich.Camb"
"120",1999,219,4,"Camb","Nenrich",1,355.9,1,5.8,2,0.693147180559945,0,5.87464979251615,1.10194007876078,"Nenrich.Camb"
"122",1999,220,4,"Camb","Namb",4,304.1,5,5.7,2,0.693147180559945,1.38629436111989,5.71735659468332,1.61143591509677,"Namb.Camb"
"123",1999,221,4,"Camb","Namb",4,164.8,5,5.9,2,0.693147180559945,1.38629436111989,5.10473261747537,1.61143591509677,"Namb.Camb"
"124",1999,222,4,"Camb","Namb",16,223.34,11,5,2,0.693147180559945,2.77258872223978,5.40869527401765,2.39880395073459,"Namb.Camb"
"125",1999,223,4,"Camb","Namb",1,178.6,1,5.6,2,0.693147180559945,0,5.1851486684424,1.10194007876078,"Namb.Camb"
"126",1999,225,4,"Camb","Nenrich",1,156.9,1,5.2,2,0.693147180559945,0,5.05560865973899,0.698134722070984,"Nenrich.Camb"
"127",1999,227,4,"Camb","Namb",1,237.3,1,5.9,2,0.693147180559945,0,5.46932516344172,0.698134722070984,"Namb.Camb"
"128",1999,228,4,"Camb","Namb",1,119,1,6,2,0.693147180559945,0,4.77912349311153,0.698134722070984,"Namb.Camb"
"129",1999,229,4,"Camb","Namb",1,45.6,1,6,2,0.693147180559945,0,3.81990771652034,1.38879124131848,"Namb.Camb"
"131",1999,231,4,"Camb","Namb",1,115.8,1,5.9,2,0.693147180559945,0,4.7518645651389,1.38879124131848,"Namb.Camb"
"132",1999,232,4,"Camb","Nenrich",9,164.9,8,5.4,2,0.693147180559945,2.19722457733622,5.10533922956555,2.08069076108027,"Nenrich.Camb"
"133",1999,233,4,"Camb","Namb",9,320.9,7,5.2,2,0.693147180559945,2.19722457733622,5.77112954811581,1.9473377010465,"Namb.Camb"
"134",1999,234,4,"Camb","Nenrich",16,319.5,8,5.2,2,0.693147180559945,2.77258872223978,5.76675727381759,2.08069076108027,"Nenrich.Camb"
"135",1999,235,4,"Camb","Namb",1,135.7,1,5.5,2,0.693147180559945,0,4.91044656684082,0.00995033085316809,"Namb.Camb"
"136",1999,236,4,"Camb","Nenrich",16,199.06,12,5.7,2,0.693147180559945,2.77258872223978,5.29360628681792,2.48573963609189,"Nenrich.Camb"
"137",1999,237,4,"Camb","Nenrich",1,40.5,1,5.2,2,0.693147180559945,0,3.70130197411249,0.698134722070984,"Nenrich.Camb"
"138",1999,238,4,"Camb","Nenrich",4,406.5,3,5.8,2,0.693147180559945,1.38629436111989,6.00758392898787,1.10194007876078,"Nenrich.Camb"
"139",1999,239,4,"Camb","Namb",4,284.4,5,5.8,2,0.693147180559945,1.38629436111989,5.65038169792909,1.61143591509677,"Namb.Camb"
"141",1999,240,4,"Camb","Nenrich",4,87.7,6,6.4,2,0.693147180559945,1.38629436111989,4.47392189937814,1.79342474854712,"Nenrich.Camb"
"142",1999,241,4,"Camb","Nenrich",1,41.5,1,5.8,2,0.693147180559945,0,3.72569342723665,1.38879124131848,"Nenrich.Camb"
"143",1999,242,4,"Camb","Namb",4,111.8,5,5.8,2,0.693147180559945,1.38629436111989,4.716711560721,1.61143591509677,"Namb.Camb"
"144",1999,244,4,"Camb","Namb",4,197.9,3,5.4,2,0.693147180559945,1.38629436111989,5.28776185260852,1.10194007876078,"Namb.Camb"
"203",1999,306,6,"Camb","Namb",16,193.6,11,4.6,2,0.693147180559945,2.77258872223978,5.26579417484248,2.39880395073459,"Namb.Camb"
"204",1999,307,6,"Camb","Nenrich",16,154.5,8,5.9,2,0.693147180559945,2.77258872223978,5.0401940963378,2.08069076108027,"Nenrich.Camb"
"205",1999,309,6,"Camb","Namb",4,240.9,5,5.3,2,0.693147180559945,1.38629436111989,5.48438190962083,1.61143591509677,"Namb.Camb"
"207",1999,310,6,"Camb","Nenrich",1,305.5,1,5,2,0.693147180559945,0,5.72194977861165,0.698134722070984,"Nenrich.Camb"
"208",1999,311,6,"Camb","Nenrich",16,171.3,7,5.6,2,0.693147180559945,2.77258872223978,5.14341640533007,1.9473377010465,"Nenrich.Camb"
"209",1999,312,6,"Camb","Namb",9,143.61,7,5.5,2,0.693147180559945,2.19722457733622,4.96710129207253,1.9473377010465,"Namb.Camb"
"210",1999,313,6,"Camb","Namb",4,117.78,4,4.7,2,0.693147180559945,1.38629436111989,4.76881847751643,1.38879124131848,"Namb.Camb"
"211",1999,314,6,"Camb","Namb",1,375.2,1,4.7,2,0.693147180559945,0,5.92745921713207,0.00995033085316809,"Namb.Camb"
"212",1999,315,6,"Camb","Namb",4,166.4,6,5.8,2,0.693147180559945,1.38629436111989,5.11439452838711,1.79342474854712,"Namb.Camb"
"213",1999,316,6,"Camb","Nenrich",1,25.4,1,5.4,2,0.693147180559945,0,3.23474917402449,0.698134722070984,"Nenrich.Camb"
"214",1999,317,6,"Camb","Nenrich",4,247.4,7,5.8,2,0.693147180559945,1.38629436111989,5.51100645995839,1.9473377010465,"Nenrich.Camb"
"215",1999,318,6,"Camb","Nenrich",1,37.9,1,5.7,2,0.693147180559945,0,3.63495111208838,1.61143591509677,"Nenrich.Camb"
"216",1999,319,6,"Camb","Nenrich",4,232.6,2,5.4,2,0.693147180559945,1.38629436111989,5.44932024008456,0.698134722070984,"Nenrich.Camb"
"218",1999,321,6,"Camb","Nenrich",16,261.1,9,5.3,2,0.693147180559945,2.77258872223978,5.56490347570508,2.19833507162025,"Nenrich.Camb"
"219",1999,322,6,"Camb","Namb",1,55.3,1,5.6,2,0.693147180559945,0,4.01277290852829,0.00995033085316809,"Namb.Camb"
"220",1999,323,6,"Camb","Namb",1,199.9,1,5.7,2,0.693147180559945,0,5.29781724150635,0.00995033085316809,"Namb.Camb"
"221",1999,325,6,"Camb","Namb",4,176.2,5,5.2,2,0.693147180559945,1.38629436111989,5.17161971350208,1.61143591509677,"Namb.Camb"
"222",1999,326,6,"Camb","Nenrich",4,176.9,4,5.5,2,0.693147180559945,1.38629436111989,5.17558460116574,1.38879124131848,"Nenrich.Camb"
"223",1999,327,6,"Camb","Nenrich",1,77,1,6.1,2,0.693147180559945,0,4.34380542185368,0.698134722070984,"Nenrich.Camb"
"224",1999,328,6,"Camb","Nenrich",4,289.5,4,5.3,2,0.693147180559945,1.38629436111989,5.66815529701305,1.38879124131848,"Nenrich.Camb"
"225",1999,329,6,"Camb","Namb",1,2,1,5.1,2,0.693147180559945,0,0.693147180559945,0.698134722070984,"Namb.Camb"
"227",1999,330,6,"Camb","Namb",1,92.9,1,5.1,2,0.693147180559945,0,4.53152364581979,1.10194007876078,"Namb.Camb"
"228",1999,331,6,"Camb","Namb",1,218.1,1,5.1,2,0.693147180559945,0,5.38495367320758,0.00995033085316809,"Namb.Camb"
"229",1999,332,6,"Camb","Namb",4,135,5,5.2,2,0.693147180559945,1.38629436111989,4.90527477843843,1.61143591509677,"Namb.Camb"
"230",1999,333,6,"Camb","Nenrich",1,175,1,6,2,0.693147180559945,0,5.16478597392351,0.698134722070984,"Nenrich.Camb"
"231",1999,334,6,"Camb","Namb",4,209,4,5.4,2,0.693147180559945,1.38629436111989,5.34233425196481,1.38879124131848,"Namb.Camb"
"232",1999,335,6,"Camb","Nenrich",9,266.51,7,5.2,2,0.693147180559945,2.19722457733622,5.58541176635407,1.9473377010465,"Nenrich.Camb"
"233",1999,336,6,"Camb","Namb",1,158.9,1,5.5,2,0.693147180559945,0,5.06827507354267,0.698134722070984,"Namb.Camb"
"234",1999,337,6,"Camb","Namb",4,173.3,4,5.4,2,0.693147180559945,1.38629436111989,5.15502419672156,1.38879124131848,"Namb.Camb"
"235",1999,338,6,"Camb","Nenrich",1,245,1,5.4,2,0.693147180559945,0,5.50125821054473,0.698134722070984,"Nenrich.Camb"
"236",1999,339,6,"Camb","Namb",1,196.6,1,5.2,2,0.693147180559945,0,5.28117120771307,1.10194007876078,"Namb.Camb"
"237",1999,340,6,"Camb","Nenrich",4,225,5,5.7,2,0.693147180559945,1.38629436111989,5.41610040220442,1.61143591509677,"Nenrich.Camb"
"238",1999,342,6,"Camb","Nenrich",1,2.7,1,5.6,2,0.693147180559945,0,0.993251773010283,0.698134722070984,"Nenrich.Camb"
"239",1999,343,6,"Camb","Namb",1,253.2,1,5.7,2,0.693147180559945,0,5.53417969027002,0.698134722070984,"Namb.Camb"
"240",1999,344,6,"Camb","Namb",16,223,11,5.2,2,0.693147180559945,2.77258872223978,5.40717177146012,2.39880395073459,"Namb.Camb"
"241",1999,345,6,"Camb","Namb",1,245.3,1,6.2,2,0.693147180559945,0,5.50248195126444,0.698134722070984,"Namb.Camb"
"242",1999,346,6,"Camb","Namb",4,259.7,4,5.7,2,0.693147180559945,1.38629436111989,5.5595271186687,1.38879124131848,"Namb.Camb"
"243",1999,347,6,"Camb","Namb",1,18.3,1,5.8,2,0.693147180559945,0,2.90690105984738,0.698134722070984,"Namb.Camb"
"244",1999,348,6,"Camb","Nenrich",4,485.3,5,5.7,2,0.693147180559945,1.38629436111989,6.18476725641117,1.61143591509677,"Nenrich.Camb"
"245",1999,349,6,"Camb","Nenrich",1,729.2,1,6.7,2,0.693147180559945,0,6.59194804280451,1.38879124131848,"Nenrich.Camb"
"247",1999,350,6,"Camb","Nenrich",4,209.9,3,5.2,2,0.693147180559945,1.38629436111989,5.34663122682659,1.10194007876078,"Nenrich.Camb"
"248",1999,351,6,"Camb","Nenrich",4,338,5,4.8,2,0.693147180559945,1.38629436111989,5.82304589548302,1.61143591509677,"Nenrich.Camb"
"249",1999,352,6,"Camb","Nenrich",1,271.6,1,5.1,2,0.693147180559945,0,5.60433039568454,0.00995033085316809,"Nenrich.Camb"
"250",1999,353,6,"Camb","Nenrich",4,148.8,4,5.1,2,0.693147180559945,1.38629436111989,5.00260312239899,1.38879124131848,"Nenrich.Camb"
"251",1999,354,6,"Camb","Nenrich",16,269.3,10,5.1,2,0.693147180559945,2.77258872223978,5.59582599981755,2.30358459332713,"Nenrich.Camb"
"252",1999,355,6,"Camb","Namb",16,271.77,8,5,2,0.693147180559945,2.77258872223978,5.60495612034931,2.08069076108027,"Namb.Camb"
"253",1999,357,6,"Camb","Nenrich",9,213.1,7,4.7,2,0.693147180559945,2.19722457733622,5.36176153910457,1.9473377010465,"Nenrich.Camb"
"254",1999,358,6,"Camb","Namb",16,135.62,14,5.3,2,0.693147180559945,2.77258872223978,4.9098568572557,2.63977136034892,"Namb.Camb"
"255",1999,359,6,"Camb","Namb",4,191.75,5,4.9,2,0.693147180559945,1.38629436111989,5.25619244024737,1.61143591509677,"Namb.Camb"
"257",1999,361,6,"Camb","Namb",9,170.62,8,5.2,2,0.693147180559945,2.19722457733622,5.13943886148055,2.08069076108027,"Namb.Camb"
"258",1999,362,6,"Camb","Nenrich",1,117,1,5.9,2,0.693147180559945,0,4.76217393479776,0.698134722070984,"Nenrich.Camb"
"259",1999,363,6,"Camb","Namb",4,36.23,2,5.9,2,0.693147180559945,1.38629436111989,3.58988750490699,0.698134722070984,"Namb.Camb"
"260",1999,364,6,"Camb","Namb",4,146.9,5,4.9,2,0.693147180559945,1.38629436111989,4.98975208317983,1.61143591509677,"Namb.Camb"
"261",1999,365,6,"Camb","Nenrich",4,248.9,3,4.5,2,0.693147180559945,1.38629436111989,5.51705120937355,1.10194007876078,"Nenrich.Camb"
"262",1999,366,6,"Camb","Nenrich",1,196.3,1,4.9,2,0.693147180559945,0,5.27964410128242,0.698134722070984,"Nenrich.Camb"
"288",1999,62,2,"Camb","Namb",4,151.5,4,4.9,2,0.693147180559945,1.38629436111989,5.02058562494942,1.38879124131848,"Namb.Camb"
"289",1999,63,2,"Camb","Namb",4,135.2,5,5.3,2,0.693147180559945,1.38629436111989,4.90675516360886,1.61143591509677,"Namb.Camb"
"290",1999,64,2,"Camb","Nenrich",16,404.1,9,5.2,2,0.693147180559945,2.77258872223978,6.00166237208443,2.19833507162025,"Nenrich.Camb"
"291",1999,65,2,"Camb","Nenrich",9,248,6,5.2,2,0.693147180559945,2.19722457733622,5.51342874616498,1.79342474854712,"Nenrich.Camb"
"292",1999,67,2,"Camb","Namb",16,186,11,5.6,2,0.693147180559945,2.77258872223978,5.2257466737132,2.39880395073459,"Namb.Camb"
"293",1999,68,2,"Camb","Nenrich",1,491.9,1,5.8,2,0.693147180559945,0,6.19827544380129,1.10194007876078,"Nenrich.Camb"
"294",1999,69,2,"Camb","Namb",16,198,12,4.9,2,0.693147180559945,2.77258872223978,5.28826703069454,2.48573963609189,"Namb.Camb"
"295",1999,70,2,"Camb","Namb",1,228,1,5.8,2,0.693147180559945,0,5.42934562895444,0.00995033085316809,"Namb.Camb"
"296",1999,71,2,"Camb","Nenrich",1,484,1,5.6,2,0.693147180559945,0,6.18208490671663,0.698134722070984,"Nenrich.Camb"
"297",1999,72,2,"Camb","Nenrich",1,807,1,5.9,2,0.693147180559945,0,6.69332366826995,1.10194007876078,"Nenrich.Camb"
"298",1999,74,2,"Camb","Nenrich",4,62.9,6,6,2,0.693147180559945,1.38629436111989,4.1415461637064,1.79342474854712,"Nenrich.Camb"
"299",1999,75,2,"Camb","Nenrich",4,105.7,6,6.1,2,0.693147180559945,1.38629436111989,4.66060489287619,1.79342474854712,"Nenrich.Camb"
"300",1999,76,2,"Camb","Nenrich",4,262.7,4,6.4,2,0.693147180559945,1.38629436111989,5.57101269669149,1.38879124131848,"Nenrich.Camb"
"301",1999,77,2,"Camb","Namb",1,47.6,1,5.4,2,0.693147180559945,0,3.86283276123737,1.10194007876078,"Namb.Camb"
"302",1999,78,2,"Camb","Namb",4,269.7,3,5.7,2,0.693147180559945,1.38629436111989,5.59731023014568,1.10194007876078,"Namb.Camb"
"303",1999,79,2,"Camb","Nenrich",4,181.1,3,5.2,2,0.693147180559945,1.38629436111989,5.19904936488937,1.10194007876078,"Nenrich.Camb"
"305",1999,80,2,"Camb","Namb",4,233.9,4,5.2,2,0.693147180559945,1.38629436111989,5.45489367359013,1.38879124131848,"Namb.Camb"
"306",1999,81,2,"Camb","Nenrich",1,241.6,1,6.2,2,0.693147180559945,0,5.48728346606066,0.698134722070984,"Nenrich.Camb"
"307",1999,82,2,"Camb","Namb",4,123.8,5,5.5,2,0.693147180559945,1.38629436111989,4.8186673602505,1.61143591509677,"Namb.Camb"
"308",1999,83,2,"Camb","Namb",9,183,6,5.3,2,0.693147180559945,2.19722457733622,5.20948615284142,1.79342474854712,"Namb.Camb"
"309",1999,85,2,"Camb","Nenrich",4,287.2,5,6.3,2,0.693147180559945,1.38629436111989,5.66017883717407,1.61143591509677,"Nenrich.Camb"
"310",1999,86,2,"Camb","Nenrich",4,321.06,3,5.1,2,0.693147180559945,1.38629436111989,5.77162802155127,1.10194007876078,"Nenrich.Camb"
"311",1999,88,2,"Camb","Nenrich",4,372.11,4,5,2,0.693147180559945,1.38629436111989,5.91918950948757,1.38879124131848,"Nenrich.Camb"
"312",1999,89,2,"Camb","Namb",4,92.3,3,5.3,2,0.693147180559945,1.38629436111989,4.52504414150881,1.10194007876078,"Namb.Camb"
"314",1999,90,2,"Camb","Namb",1,244.6,1,5.8,2,0.693147180559945,0,5.49962422325307,1.38879124131848,"Namb.Camb"
"315",1999,91,2,"Camb","Nenrich",4,263.7,6,6,2,0.693147180559945,1.38629436111989,5.57481209335924,1.79342474854712,"Nenrich.Camb"
"316",1999,93,2,"Camb","Namb",4,53.6,4,6.1,2,0.693147180559945,1.38629436111989,3.98154906807676,1.38879124131848,"Namb.Camb"
"317",1999,94,2,"Camb","Nenrich",1,18.5,1,5,2,0.693147180559945,0,2.91777073208428,0.698134722070984,"Nenrich.Camb"
"318",1999,95,2,"Camb","Nenrich",4,366.37,4,5,2,0.693147180559945,1.38629436111989,5.90364375171855,1.38879124131848,"Nenrich.Camb"
"319",1999,96,2,"Camb","Nenrich",1,99.6,1,5.9,2,0.693147180559945,0,4.60116216459055,0.698134722070984,"Nenrich.Camb"
"320",1999,97,2,"Camb","Nenrich",9,297,9,5.1,2,0.693147180559945,2.19722457733622,5.6937321388027,2.19833507162025,"Nenrich.Camb"
"321",1999,98,2,"Camb","Nenrich",4,311.6,4,5,2,0.693147180559945,1.38629436111989,5.74172031399659,1.38879124131848,"Nenrich.Camb"
"322",1999,99,2,"Camb","Nenrich",1,366.7,1,6,2,0.693147180559945,0,5.90454407507728,1.10194007876078,"Nenrich.Camb"
"325",2000,100,2,"Camb","Namb",1,232.6,1,6,3,1.09861228866811,0,5.44932024008456,0.698134722070984,"Namb.Camb"
"326",2000,101,2,"Camb","Nenrich",1,213.8,1,6.2,3,1.09861228866811,0,5.36504099859094,0.00995033085316809,"Nenrich.Camb"
"327",2000,102,2,"Camb","Namb",1,473,1,6,3,1.09861228866811,0,6.15909538849193,0.698134722070984,"Namb.Camb"
"328",2000,103,2,"Camb","Nenrich",1,113.7,1,6.2,3,1.09861228866811,0,4.73356340075649,0.00995033085316809,"Nenrich.Camb"
"329",2000,104,2,"Camb","Namb",16,221.2,11,6.7,3,1.09861228866811,2.77258872223978,5.39906726964818,2.39880395073459,"Namb.Camb"
"330",2000,105,2,"Camb","Namb",4,75.66,3,6.4,3,1.09861228866811,1.38629436111989,4.32624961920488,1.10194007876078,"Namb.Camb"
"331",2000,106,2,"Camb","Namb",9,156.2,6,6.5,3,1.09861228866811,2.19722457733622,5.05113723740559,1.79342474854712,"Namb.Camb"
"332",2000,107,2,"Camb","Namb",16,166.8,8,6.4,3,1.09861228866811,2.77258872223978,5.11679548992465,2.08069076108027,"Namb.Camb"
"333",2000,108,2,"Camb","Nenrich",16,214.3,6,6.2,3,1.09861228866811,2.77258872223978,5.36737690247953,1.79342474854712,"Nenrich.Camb"
"334",2000,109,2,"Camb","Namb",1,185.8,1,5.9,3,1.09861228866811,0,5.22467082637974,0.00995033085316809,"Namb.Camb"
"335",2000,110,2,"Camb","Nenrich",16,272.71,7,5.8,3,1.09861228866811,2.77258872223978,5.6084089595129,1.9473377010465,"Nenrich.Camb"
"336",2000,111,2,"Camb","Namb",1,175.5,1,5.8,3,1.09861228866811,0,5.16763904290592,0.00995033085316809,"Namb.Camb"
"337",2000,112,2,"Camb","Nenrich",1,193.9,1,6.4,3,1.09861228866811,0,5.26734256224861,0.00995033085316809,"Nenrich.Camb"
"338",2000,113,2,"Camb","Nenrich",1,125.4,1,5.8,3,1.09861228866811,0,4.83150862819882,0.698134722070984,"Nenrich.Camb"
"339",2000,114,2,"Camb","Nenrich",4,429.6,4,5.8,3,1.09861228866811,1.38629436111989,6.06285454319466,1.38879124131848,"Nenrich.Camb"
"340",2000,115,2,"Camb","Namb",1,102.6,1,6.4,3,1.09861228866811,0,4.63083793273667,0.00995033085316809,"Namb.Camb"
"341",2000,116,2,"Camb","Namb",1,188.5,1,6.3,3,1.09861228866811,0,5.23909800688807,0.698134722070984,"Namb.Camb"
"342",2000,118,2,"Camb","Nenrich",16,291.5,9,6.6,3,1.09861228866811,2.77258872223978,5.67504000579055,2.19833507162025,"Nenrich.Camb"
"344",2000,120,2,"Camb","Namb",4,85.41,3,6.4,3,1.09861228866811,1.38629436111989,4.44746318995806,1.10194007876078,"Namb.Camb"
"345",2000,121,2,"Camb","Namb",4,108.7,4,6.5,3,1.09861228866811,1.38629436111989,4.68859179412716,1.38879124131848,"Namb.Camb"
"346",2000,122,2,"Camb","Namb",1,97.9,1,6.1,3,1.09861228866811,0,4.58394654953646,0.00995033085316809,"Namb.Camb"
"406",2000,184,4,"Camb","Namb",16,352.56,8,5.1,3,1.09861228866811,2.77258872223978,5.86522082053373,2.08069076108027,"Namb.Camb"
"407",2000,187,4,"Camb","Namb",9,89.1,7,5.3,3,1.09861228866811,2.19722457733622,4.48975933447676,1.9473377010465,"Namb.Camb"
"408",2000,188,4,"Camb","Namb",16,338.4,9,6.1,3,1.09861228866811,2.77258872223978,5.82422862773207,2.19833507162025,"Namb.Camb"
